Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
2	Node_66	combined	Drop	0	0	0	0
2	Node_67	combined	Drop	0	0	0	0
2	Node_68	combined	Drop	0	0	0	0
2	Node_69	combined	Drop	0	0	1	1.0498
2	Node_70	combined	Drop	0	0	0	0
2	Node_71	combined	Drop	0	0	0	0
2	Node_72	combined	Drop	0	0	0	0
2	Node_73	combined	Drop	0	0	0	0
2	Node_74	combined	Drop	0	0	0	0
2	Node_75	combined	Drop	0	0	0	0
2	Node_76	combined	Drop	0	0	0	0
2	Node_77	combined	Drop	0	0	0	0
2	Node_78	combined	Drop	0	0	0	0
2	Node_79	combined	Drop	0	0	0	0
2	Node_80	combined	Drop	0	0	0	0
2	Node_81	combined	Drop	0	0	0	0
2	Node_82	combined	Drop	0	0	0	0
2	Node_83	combined	Drop	0	0	0	0
2	Node_84	combined	Drop	0	0	0	0
2	Node_85	combined	Drop	0	0	0	0
2	Node_86	combined	Drop	0	0	0	0
2	Node_87	combined	Drop	0	0	0	0
2	Node_88	combined	Drop	0	0	0	0
2	Node_89	combined	Drop	0	0	0	0
2	Node_90	combined	Drop	0	0	0	0
2	Node_91	combined	Drop	0	0	0	0
2	Node_92	combined	Drop	0	0	0	0
2	Node_93	combined	Drop	0	0	0	0
2	Node_94	combined	Drop	0	0	0	0
2	Node_95	combined	Drop	0	0	0	0
2	Node_96	combined	Drop	0	0	0	0
2	Node_97	combined	Drop	0	0	0	0
2	Node_98	combined	Drop	0	0	0	0
2	Node_99	combined	Drop	0	0	0	0
2	Callee_0	combined	Drop	0	0	0	0
2	Callee_1	combined	Drop	0	0	0	0
2	Callee_2	combined	Drop	0	0	0	0
2	Callee_3	combined	Drop	0	0	0	0
2	Callee_4	combined	Drop	0	0	0	0
2	Callee_5	combined	Drop	0	0	0	0
2	Callee_6	combined	Drop	0	0	0	0
2	Callee_7	combined	Drop	0	0	0	0
2	Callee_8	combined	Drop	0	0	0	0
2	Callee_9	combined	Drop	0	0	0	0
2	Callee_10	combined	Drop	0	0	0	0
2	Callee_11	combined	Drop	0	0	0	0
2	Callee_12	combined	Drop	0	0	0	0
2	Callee_13	combined	Drop	0	0	0	0
2	Callee_14	combined	Drop	0	0	0	0
2	Callee_15	combined	Drop	0	0	0	0
2	Callee_16	combined	Drop	0	0	0	0
2	Callee_17	combined	Drop	0	0	0	0
2	Callee_18	combined	Drop	0	0	0	0
2	Callee_19	combined	Drop	0	0	0	0
2	Client_0	combined	Drop	0	0	0	0
2	Client_1	combined	Drop	0	0	0	0
2	Client_2	combined	Drop	0	0	0	0
2	Client_3	combined	Drop	0	0	0	0
2	Client_4	combined	Drop	0	0	0	0
2	Client_5	combined	Drop	0	0	0	0
